CropType,Location,LandType,LandSize,Income,LoanName
Coffee,Kodagu,Black cotton soil land,1.1,87517,Horticulture Loan
Millets,Tumakuru,Rainfed,5.28,16534,Soil Health Card Loan
Wheat,Vijayapura,Irrigated,4.92,30899,Crop Loan
Fish Farming,Udupi,Wetland,1.29,61693,Fisheries Loan
Organic Vegetables,Mysuru,Irrigated,2.97,47547,Horticulture Loan
Wheat,Kalaburagi,Dryland,2.16,34007,Crop Loan
Sugarcane,Mandya,Irrigated,4.51,47210,Farm Mechanization Loan
Coffee,Hassan,Wetland,0.96,71585,Plantation Development Loan
Cotton,Ballari,Dryland,2.4,42713,Pest Management Loan
Coconut,Tumakuru,Coastal loamy,2.25,51125,Agri Infrastructure Loan
Mango,Chikkaballapur,Dryland,1.6,47727,Horticulture Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.4,26299,Crop Loan
Organic Vegetables,Dharwad,Irrigated,1.48,39111,Organic Farming Loan
Beekeeping,Kodagu,Dryland,0.77,69464,Agri Clinic Loan
Wheat,Kalaburagi,Irrigated,3.42,28073,PM Kisan Loan
Fish Farming,Udupi,Wetland,1.09,65098,Fisheries Loan
Pulses,Dharwad,Rainfed,2.39,22038,Organic Farming Loan
Fish Farming,Uttara Kannada,Wetland,2.02,92876,Fisheries Loan
Floriculture,Doddaballapura,Polyhouse,1.31,71367,Floriculture Loan
Tea,Chikkamagaluru,Hill slope,2.18,81620,NABARD Refinance Scheme
Rice,Mandya,Irrigated,1.76,37280,Kisan Credit Card
Groundnut,Chikkaballapur,Black cotton soil land,2.07,21402,Organic Farming Loan
Banana,Mysuru,Wetland,2.28,43690,Irrigation Loan
Silk,Chikkaballapur,Irrigated,2.0,72301,Agricultural Term Loan
Tea,Chikkamagaluru,Hill slope,1.48,95816,NABARD Refinance Scheme
Cotton,Haveri,Black cotton soil land,3.27,30380,Kisan Credit Card
Floriculture,Tumakuru,Irrigated,1.86,56738,Floriculture Loan
Tea,Chikkamagaluru,Wetland,1.19,82240,Plantation Development Loan
Wheat,Vijayapura,Dryland,4.96,34110,Crop Loan
Sugarcane,Mandya,Black cotton soil land,2.37,54958,Agricultural Term Loan
Wheat,Bagalkot,Dryland,4.22,28757,Crop Loan
Coconut,Tumakuru,Irrigated,1.88,47376,Plantation Loan
Banana,Hassan,Wetland,1.6,47248,Horticulture Loan
Wheat,Kalaburagi,Dryland,2.2,34967,Crop Loan
Coconut,Dakshina Kannada,Coastal loamy,1.42,52020,Plantation Loan
Pulses,Gadag,Rainfed,2.12,20277,NABARD Loan
Tea,Chikkamagaluru,Hill slope,1.37,89946,Plantation Development Loan
Rice,Mysuru,Wetland,3.42,39563,Irrigation Loan
Coffee,Chikkamagaluru,Wetland,0.98,62691,Plantation Development Loan
Rice,Mysuru,Wetland,1.12,36755,Kisan Credit Card
Millets,Tumakuru,Dryland,2.48,19383,PM Kisan Loan
Millets,Tumakuru,Rainfed,4.72,17720,PM Kisan Loan
Organic Vegetables,Mysuru,Dryland,1.26,36430,Organic Farming Loan
Rice,Shivamogga,Irrigated,1.74,34744,Irrigation Loan
Pulses,Dharwad,Rainfed,1.88,21589,PM Kisan Loan
Coconut,Udupi,Coastal loamy,1.82,58595,Plantation Loan
Millets,Chitradurga,Rainfed,2.59,17526,Soil Health Card Loan
Tea,Chikkamagaluru,Wetland,1.18,81664,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.46,82303,NABARD Loan
Coffee,Hassan,Wetland,1.56,67106,NABARD Loan
Organic Vegetables,Dharwad,Dryland,1.36,39313,Horticulture Loan
Banana,Mysuru,Wetland,2.71,42686,Irrigation Loan
Maize,Chikkaballapur,Rainfed,4.64,34998,Crop Loan
Maize,Gadag,Dryland,4.67,25333,Farm Mechanization Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.45,24243,Organic Farming Loan
Silk,Chikkaballapur,Irrigated,1.11,58354,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.35,25191,PM Kisan Loan
Groundnut,Tumakuru,Dryland,3.23,30730,Crop Loan
Floriculture,Tumakuru,Polyhouse,1.87,73627,Floriculture Loan
Tea,Chikkamagaluru,Wetland,1.24,70810,Plantation Development Loan
Mango,Chikkaballapur,Black cotton soil land,1.54,40606,Organic Farming Loan
Coconut,Tumakuru,Coastal loamy,1.28,46765,Agri Infrastructure Loan
Sugarcane,Mandya,Black cotton soil land,2.02,56495,Agricultural Term Loan
Pulses,Bidar,Dryland,1.1,18804,Organic Farming Loan
Floriculture,Tumakuru,Polyhouse,1.58,64914,NABARD Loan
Floriculture,Tumakuru,Polyhouse,1.96,52793,Floriculture Loan
Millets,Tumakuru,Rainfed,4.51,21591,PM Kisan Loan
Groundnut,Tumakuru,Dryland,4.22,24839,Crop Loan
Pulses,Raichur,Rainfed,3.82,19233,PM Kisan Loan
Wheat,Vijayapura,Irrigated,1.91,34425,PM Kisan Loan
Floriculture,Doddaballapura,Polyhouse,1.63,73692,NABARD Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.61,34796,Crop Loan
Wheat,Vijayapura,Irrigated,2.44,33612,Crop Loan
Organic Vegetables,Dharwad,Irrigated,1.21,45230,Horticulture Loan
Fish Farming,Dakshina Kannada,Wetland,1.6,65902,Fisheries Loan
Rice,Raichur,Irrigated,2.21,32397,Kisan Credit Card
Beekeeping,Shivamogga,Forest edge,2.0,66070,Agri Clinic Loan
Beekeeping,Chamarajanagar,Forest edge,1.99,50256,Agri Clinic Loan
Beekeeping,Kodagu,Dryland,1.97,62872,Agri Clinic Loan
Groundnut,Tumakuru,Black cotton soil land,3.55,20224,Crop Loan
Maize,Davanagere,Dryland,4.82,32646,Farm Mechanization Loan
Pulses,Bidar,Rainfed,1.3,24297,Organic Farming Loan
Pulses,Bidar,Dryland,2.21,21352,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,4.02,31793,Crop Loan
Millets,Tumakuru,Rainfed,5.87,20265,Organic Farming Loan
Tea,Chikkamagaluru,Hill slope,2.41,74726,Plantation Development Loan
Pulses,Gadag,Rainfed,3.33,18275,Organic Farming Loan
Banana,Hassan,Irrigated,1.75,42591,Irrigation Loan
Coconut,Tumakuru,Irrigated,1.34,44708,Plantation Loan
Maize,Gadag,Rainfed,4.47,30799,Crop Loan
Maize,Gadag,Dryland,4.18,26303,Crop Loan
Rice,Shivamogga,Wetland,1.7,39662,Crop Loan
Fish Farming,Dakshina Kannada,Wetland,1.93,76139,Fisheries Loan
Sugarcane,Bagalkot,Black cotton soil land,3.64,48137,Irrigation Loan
Fish Farming,Udupi,Wetland,2.28,89420,NABARD Infrastructure Loan
Pulses,Bidar,Dryland,1.65,18605,Organic Farming Loan
Organic Vegetables,Dharwad,Dryland,1.04,47896,Horticulture Loan
Cotton,Gadag,Black cotton soil land,4.49,44929,Kisan Credit Card
Fish Farming,Uttara Kannada,Wetland,0.93,62490,NABARD Infrastructure Loan
Coconut,Udupi,Coastal loamy,1.94,49671,Agri Infrastructure Loan
Cotton,Dharwad,Black cotton soil land,4.68,40670,Kisan Credit Card
Mango,Kolar,Dryland,2.36,44462,Horticulture Loan
Sugarcane,Bagalkot,Black cotton soil land,5.29,58383,Farm Mechanization Loan
Organic Vegetables,Mysuru,Irrigated,2.79,38351,Horticulture Loan
Organic Vegetables,Dharwad,Dryland,1.62,41639,Horticulture Loan
Groundnut,Chikkaballapur,Dryland,4.91,25909,Organic Farming Loan
Silk,Chikkaballapur,Dryland,1.21,70492,NABARD Loan
Mango,Ramanagara,Black cotton soil land,2.75,52941,Horticulture Loan
Rice,Raichur,Wetland,3.18,37236,Kisan Credit Card
Silk,Ramanagara,Irrigated,1.17,61542,Agricultural Term Loan
Coconut,Dakshina Kannada,Coastal loamy,3.57,42155,Plantation Loan
Wheat,Vijayapura,Dryland,4.1,26082,PM Kisan Loan
Pulses,Bidar,Dryland,1.33,24088,NABARD Loan
Sugarcane,Belagavi,Irrigated,3.75,59935,Agricultural Term Loan
Groundnut,Chikkaballapur,Dryland,4.33,31861,Crop Loan
Rice,Shivamogga,Wetland,2.62,31360,Crop Loan
Silk,Ramanagara,Dryland,1.68,72421,NABARD Loan
Maize,Chikkaballapur,Rainfed,2.92,32672,Crop Loan
Groundnut,Tumakuru,Dryland,4.91,28961,Organic Farming Loan
Sugarcane,Mandya,Black cotton soil land,2.03,54463,Farm Mechanization Loan
Beekeeping,Chamarajanagar,Forest edge,0.96,61672,Apiculture Loan
Floriculture,Bengaluru Urban,Polyhouse,0.82,57580,NABARD Loan
Sugarcane,Bagalkot,Irrigated,4.05,48758,Farm Mechanization Loan
Rice,Raichur,Wetland,1.7,35922,Irrigation Loan
Pulses,Gadag,Rainfed,2.96,21048,PM Kisan Loan
Beekeeping,Kodagu,Dryland,1.15,67841,Apiculture Loan
Coffee,Hassan,Wetland,0.51,76175,NABARD Loan
Millets,Chitradurga,Dryland,2.91,17395,Organic Farming Loan
Pulses,Raichur,Dryland,2.42,23007,Organic Farming Loan
Organic Vegetables,Tumakuru,Irrigated,1.06,36393,Horticulture Loan
Mango,Kolar,Black cotton soil land,1.91,54530,Horticulture Loan
Sugarcane,Mysuru,Irrigated,3.91,52197,Agricultural Term Loan
Pulses,Raichur,Rainfed,3.16,19564,PM Kisan Loan
Wheat,Kalaburagi,Irrigated,2.43,30881,Crop Loan
Silk,Chikkaballapur,Dryland,1.28,58904,Agricultural Term Loan
Fish Farming,Uttara Kannada,Wetland,1.97,78391,NABARD Infrastructure Loan
Silk,Ramanagara,Irrigated,1.28,74360,Sericulture Loan
Beekeeping,Shivamogga,Forest edge,0.96,69205,Apiculture Loan
Silk,Ramanagara,Dryland,2.67,71639,Agricultural Term Loan
Banana,Mysuru,Irrigated,1.88,43674,Horticulture Loan
Tea,Chikkamagaluru,Wetland,2.37,79578,NABARD Refinance Scheme
Groundnut,Bengaluru Rural,Black cotton soil land,3.63,34388,Crop Loan
Fish Farming,Dakshina Kannada,Wetland,1.92,68365,NABARD Infrastructure Loan
Coconut,Dakshina Kannada,Coastal loamy,2.49,54262,Agri Infrastructure Loan
Coffee,Kodagu,Wetland,1.64,84147,Horticulture Loan
Silk,Kolar,Irrigated,2.98,56221,Agricultural Term Loan
Pulses,Dharwad,Dryland,2.59,20200,NABARD Loan
Rice,Mandya,Irrigated,2.66,39879,Kisan Credit Card
Silk,Ramanagara,Dryland,1.83,69813,Agricultural Term Loan
Mango,Kolar,Dryland,2.7,46610,Horticulture Loan
Organic Vegetables,Mysuru,Dryland,2.33,35165,Organic Farming Loan
Floriculture,Bengaluru Urban,Irrigated,0.75,61551,NABARD Loan
Silk,Ramanagara,Dryland,1.85,67130,Sericulture Loan
Floriculture,Bengaluru Urban,Irrigated,1.37,51790,NABARD Loan
Beekeeping,Kodagu,Dryland,0.7,52435,Apiculture Loan
Maize,Chikkaballapur,Dryland,3.78,26272,Crop Loan
Coffee,Chikkamagaluru,Wetland,0.55,83456,Plantation Development Loan
Maize,Davanagere,Dryland,3.0,26276,Crop Loan
Coconut,Udupi,Coastal loamy,2.9,49925,Plantation Loan
Silk,Kolar,Irrigated,2.27,55258,Agricultural Term Loan
Rice,Mandya,Wetland,2.98,32686,Irrigation Loan
Fish Farming,Dakshina Kannada,Wetland,1.84,86624,NABARD Infrastructure Loan
Coconut,Dakshina Kannada,Coastal loamy,3.14,41879,Plantation Loan
Coffee,Kodagu,Black cotton soil land,0.81,83068,NABARD Loan
Banana,Mysuru,Wetland,2.77,42855,Horticulture Loan
Cotton,Dharwad,Black cotton soil land,3.21,38400,Kisan Credit Card
Tea,Chikkamagaluru,Hill slope,2.16,77695,NABARD Refinance Scheme
Organic Vegetables,Dharwad,Dryland,1.26,45090,Horticulture Loan
Rice,Mandya,Irrigated,1.88,34670,Kisan Credit Card
Beekeeping,Chamarajanagar,Forest edge,1.66,66662,Agri Clinic Loan
Pulses,Gadag,Dryland,2.33,19768,Organic Farming Loan
Rice,Mandya,Irrigated,2.36,36889,Crop Loan
Pulses,Bidar,Dryland,1.08,24332,PM Kisan Loan
Silk,Chikkaballapur,Irrigated,1.6,69555,NABARD Loan
Sugarcane,Mandya,Black cotton soil land,3.03,51516,Irrigation Loan
Banana,Mysuru,Wetland,2.63,53631,Horticulture Loan
Beekeeping,Kodagu,Dryland,0.96,54809,Agri Clinic Loan
Cotton,Gadag,Dryland,4.89,34844,Kisan Credit Card
Maize,Davanagere,Dryland,4.12,26756,Farm Mechanization Loan
Pulses,Gadag,Rainfed,1.67,23844,PM Kisan Loan
Fish Farming,Udupi,Wetland,1.01,66126,Fisheries Loan
Coconut,Udupi,Irrigated,2.22,47300,Plantation Loan
Coconut,Udupi,Irrigated,3.31,41065,Agri Infrastructure Loan
Organic Vegetables,Dharwad,Irrigated,1.43,36255,Organic Farming Loan
Millets,Tumakuru,Rainfed,2.97,21972,PM Kisan Loan
Tea,Chikkamagaluru,Hill slope,1.31,83635,NABARD Refinance Scheme
Coffee,Chikkamagaluru,Black cotton soil land,1.98,70630,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.01,76918,Plantation Development Loan
Beekeeping,Chamarajanagar,Forest edge,0.62,57510,Apiculture Loan
Wheat,Vijayapura,Dryland,2.84,32530,Crop Loan
Pulses,Bidar,Rainfed,3.2,22827,PM Kisan Loan
Mango,Ramanagara,Dryland,1.16,45560,Organic Farming Loan
Cotton,Haveri,Black cotton soil land,2.79,33068,Kisan Credit Card
Pulses,Raichur,Rainfed,3.6,24187,Organic Farming Loan
Coconut,Tumakuru,Coastal loamy,2.37,47148,Plantation Loan
Beekeeping,Kodagu,Forest edge,1.59,61766,Apiculture Loan
Coconut,Tumakuru,Irrigated,2.71,46940,Agri Infrastructure Loan
Groundnut,Bengaluru Rural,Dryland,4.91,31591,Organic Farming Loan
Banana,Mysuru,Wetland,2.65,46006,Irrigation Loan
Millets,Koppal,Rainfed,2.67,17972,PM Kisan Loan
Silk,Ramanagara,Dryland,1.23,57614,NABARD Loan
Coffee,Hassan,Black cotton soil land,1.49,86637,NABARD Loan
Floriculture,Tumakuru,Irrigated,1.35,61431,NABARD Loan
Wheat,Vijayapura,Irrigated,1.91,28978,Crop Loan
Floriculture,Doddaballapura,Polyhouse,0.73,71577,Floriculture Loan
Wheat,Vijayapura,Dryland,2.75,33881,Crop Loan
Beekeeping,Kodagu,Forest edge,1.66,64460,Agri Clinic Loan
Coffee,Hassan,Black cotton soil land,1.55,85913,Horticulture Loan
Millets,Koppal,Dryland,4.07,21855,Soil Health Card Loan
Groundnut,Chikkaballapur,Dryland,3.98,20422,Crop Loan
Mango,Kolar,Dryland,1.79,43137,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,2.37,38904,Pest Management Loan
Pulses,Gadag,Rainfed,2.53,23148,NABARD Loan
Cotton,Gadag,Black cotton soil land,4.61,35708,Pest Management Loan
Mango,Chikkaballapur,Dryland,3.1,49247,Organic Farming Loan
Wheat,Kalaburagi,Dryland,3.37,28075,Crop Loan
Mango,Chikkaballapur,Black cotton soil land,1.34,40971,Horticulture Loan
Mango,Ramanagara,Black cotton soil land,3.72,39728,Organic Farming Loan
Maize,Chikkaballapur,Rainfed,2.85,22995,Crop Loan
Coconut,Dakshina Kannada,Irrigated,3.56,59851,Agri Infrastructure Loan
Silk,Kolar,Dryland,2.16,50377,Sericulture Loan
Fish Farming,Dakshina Kannada,Wetland,2.28,72475,Fisheries Loan
Tea,Chikkamagaluru,Wetland,1.06,93098,Plantation Development Loan
Organic Vegetables,Dharwad,Dryland,2.08,49176,Horticulture Loan
Sugarcane,Mandya,Black cotton soil land,2.85,59158,Farm Mechanization Loan
Fish Farming,Uttara Kannada,Wetland,2.1,93321,NABARD Infrastructure Loan
Banana,Mysuru,Wetland,3.38,46961,Horticulture Loan
Floriculture,Doddaballapura,Polyhouse,1.99,73590,Floriculture Loan
Tea,Chikkamagaluru,Hill slope,1.88,75851,NABARD Refinance Scheme
Organic Vegetables,Dharwad,Irrigated,1.94,35804,Horticulture Loan
Banana,Mysuru,Wetland,2.89,42006,Horticulture Loan
Floriculture,Bengaluru Urban,Polyhouse,1.61,62968,NABARD Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.02,31134,Organic Farming Loan
Millets,Koppal,Rainfed,5.07,16839,PM Kisan Loan
Millets,Koppal,Dryland,2.85,18856,Soil Health Card Loan
Coffee,Hassan,Black cotton soil land,1.42,77441,NABARD Loan
Sugarcane,Mandya,Irrigated,5.62,47802,Irrigation Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.59,61156,Horticulture Loan
Groundnut,Chikkaballapur,Dryland,4.76,33473,Crop Loan
Banana,Mandya,Irrigated,2.33,52711,Horticulture Loan
Organic Vegetables,Tumakuru,Dryland,2.16,39131,Horticulture Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.35,29020,Organic Farming Loan
Maize,Davanagere,Dryland,3.88,27235,Crop Loan
Rice,Mysuru,Wetland,3.51,36996,Crop Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.1,33899,Crop Loan
Maize,Gadag,Rainfed,3.58,21958,Farm Mechanization Loan
Tea,Chikkamagaluru,Hill slope,1.79,76183,Plantation Development Loan
Banana,Mandya,Wetland,3.12,48848,Irrigation Loan
Mango,Ramanagara,Black cotton soil land,3.31,45102,Organic Farming Loan
Coconut,Dakshina Kannada,Coastal loamy,2.19,53229,Agri Infrastructure Loan
Mango,Chikkaballapur,Black cotton soil land,2.93,53765,Horticulture Loan
Organic Vegetables,Mysuru,Irrigated,1.25,42487,Horticulture Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.63,31354,Organic Farming Loan
Coffee,Kodagu,Wetland,1.93,74216,Horticulture Loan
Beekeeping,Kodagu,Dryland,1.99,65299,Apiculture Loan
Floriculture,Tumakuru,Polyhouse,1.42,53437,NABARD Loan
Pulses,Gadag,Rainfed,3.29,24290,Organic Farming Loan
Coconut,Tumakuru,Irrigated,2.62,50697,Plantation Loan
Cotton,Dharwad,Black cotton soil land,4.28,32582,Crop Loan
Groundnut,Tumakuru,Black cotton soil land,2.43,34797,Crop Loan
Wheat,Kalaburagi,Dryland,3.3,29917,Crop Loan
Silk,Chikkaballapur,Irrigated,1.17,61977,Agricultural Term Loan
Groundnut,Tumakuru,Black cotton soil land,2.47,34771,Crop Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.88,33633,Organic Farming Loan
Beekeeping,Shivamogga,Dryland,0.7,68380,Agri Clinic Loan
Coffee,Kodagu,Wetland,1.06,64134,Horticulture Loan
Organic Vegetables,Dharwad,Dryland,1.52,47107,Organic Farming Loan
Organic Vegetables,Dharwad,Dryland,1.68,38374,Horticulture Loan
Pulses,Bidar,Dryland,1.67,21949,PM Kisan Loan
Coconut,Tumakuru,Coastal loamy,1.33,49466,Plantation Loan
Rice,Raichur,Irrigated,3.46,31873,Kisan Credit Card
Maize,Chikkaballapur,Dryland,3.19,26184,Farm Mechanization Loan
Silk,Chikkaballapur,Dryland,1.78,69485,Sericulture Loan
Millets,Koppal,Rainfed,4.29,19572,Organic Farming Loan
Cotton,Ballari,Dryland,2.83,41305,Pest Management Loan
Banana,Mandya,Irrigated,3.44,47804,Horticulture Loan
Wheat,Kalaburagi,Dryland,3.56,30919,Crop Loan
Organic Vegetables,Tumakuru,Dryland,2.35,41906,Organic Farming Loan
Sugarcane,Mandya,Irrigated,5.01,46480,Agricultural Term Loan
Tea,Chikkamagaluru,Wetland,1.03,79898,NABARD Refinance Scheme
Tea,Chikkamagaluru,Wetland,1.11,85827,NABARD Refinance Scheme
Groundnut,Tumakuru,Dryland,3.25,32869,Crop Loan
Organic Vegetables,Mysuru,Irrigated,2.65,44299,Organic Farming Loan
Floriculture,Bengaluru Urban,Polyhouse,0.64,61631,NABARD Loan
Beekeeping,Shivamogga,Forest edge,1.86,63084,Apiculture Loan
Maize,Gadag,Rainfed,3.19,31010,Farm Mechanization Loan
Rice,Raichur,Wetland,2.38,38028,Kisan Credit Card
Tea,Chikkamagaluru,Wetland,1.1,72565,NABARD Refinance Scheme
Wheat,Bagalkot,Irrigated,4.61,30525,PM Kisan Loan
Beekeeping,Chamarajanagar,Forest edge,1.84,69722,Apiculture Loan
Coconut,Udupi,Coastal loamy,1.37,51644,Plantation Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.51,25589,Crop Loan
Banana,Mysuru,Irrigated,1.63,45257,Horticulture Loan
Floriculture,Doddaballapura,Polyhouse,1.17,74271,Floriculture Loan
Banana,Mandya,Irrigated,1.85,50671,Irrigation Loan
Silk,Chikkaballapur,Irrigated,1.27,51671,Sericulture Loan
Millets,Koppal,Rainfed,4.71,15059,Soil Health Card Loan
Coconut,Udupi,Irrigated,1.37,55131,Agri Infrastructure Loan
Beekeeping,Shivamogga,Forest edge,1.38,58279,Agri Clinic Loan
Coffee,Hassan,Black cotton soil land,0.64,82326,NABARD Loan
Tea,Chikkamagaluru,Wetland,1.34,85204,Plantation Development Loan
Mango,Kolar,Dryland,3.79,59406,Organic Farming Loan
Floriculture,Tumakuru,Irrigated,0.79,61706,NABARD Loan
Cotton,Ballari,Dryland,2.07,31467,Crop Loan
Fish Farming,Dakshina Kannada,Wetland,1.03,81107,Fisheries Loan
Floriculture,Doddaballapura,Irrigated,1.12,73331,NABARD Loan
Beekeeping,Kodagu,Forest edge,1.34,64495,Agri Clinic Loan
Tea,Chikkamagaluru,Hill slope,1.48,90826,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.35,68674,Horticulture Loan
Floriculture,Bengaluru Urban,Irrigated,0.67,70184,Floriculture Loan
Coconut,Udupi,Coastal loamy,3.52,47517,Agri Infrastructure Loan
Fish Farming,Udupi,Wetland,1.92,61823,Fisheries Loan
Maize,Chikkaballapur,Rainfed,2.8,31763,Farm Mechanization Loan
Mango,Kolar,Black cotton soil land,1.87,46798,Organic Farming Loan
Wheat,Bagalkot,Dryland,4.69,34457,PM Kisan Loan
Maize,Gadag,Rainfed,4.48,24040,Crop Loan
Cotton,Ballari,Dryland,3.98,37425,Kisan Credit Card
Fish Farming,Uttara Kannada,Wetland,1.34,86772,NABARD Infrastructure Loan
Coconut,Dakshina Kannada,Irrigated,2.15,55018,Plantation Loan
Millets,Koppal,Rainfed,4.61,18336,Organic Farming Loan
Sugarcane,Bagalkot,Black cotton soil land,5.34,52011,Irrigation Loan
Cotton,Ballari,Dryland,3.54,31496,Kisan Credit Card
Fish Farming,Dakshina Kannada,Wetland,2.42,60079,Fisheries Loan
Maize,Chikkaballapur,Dryland,4.28,30551,Crop Loan
Cotton,Gadag,Black cotton soil land,3.85,31523,Pest Management Loan
Coconut,Dakshina Kannada,Irrigated,1.03,43538,Plantation Loan
Cotton,Haveri,Dryland,4.4,42262,Crop Loan
Mango,Kolar,Dryland,2.5,55892,Organic Farming Loan
Mango,Ramanagara,Black cotton soil land,3.66,44426,Horticulture Loan
Millets,Koppal,Dryland,3.4,21912,Soil Health Card Loan
Floriculture,Bengaluru Urban,Polyhouse,1.37,69340,Floriculture Loan
Coconut,Udupi,Coastal loamy,2.91,59580,Agri Infrastructure Loan
Groundnut,Tumakuru,Dryland,2.15,25292,Organic Farming Loan
Maize,Chikkaballapur,Dryland,4.03,30818,Farm Mechanization Loan
Mango,Kolar,Black cotton soil land,3.51,47094,Horticulture Loan
Maize,Chikkaballapur,Dryland,4.6,27548,Farm Mechanization Loan
